input_user_query,context_data
berapa jumlah anggota DPRD laki-laki dari Partai Golkar tahun 2016 dan 2017?,Tahun 2016: anggota DPRD laki-laki dari Partai Golkar sebanyak 10 orang. Tahun 2017: anggota DPRD laki-laki dari Partai Golkar sebanyak 10 orang.
berapa jumlah anggota DPRD perempuan dari Partai Golkar tahun 2016 dan 2017?,Tahun 2016: anggota DPRD perempuan dari Partai Golkar sebanyak 1 orang. Tahun 2017: anggota DPRD perempuan dari Partai Golkar sebanyak 1 orang.
Penduduk 10 Tahun ke Atas Menurut Tamatan Pendidikan Tertinggi SD/MI di Kabupaten Madiun tahun 2006,Penduduk 10 Tahun ke Atas Menurut Tamatan Pendidikan Tertinggi di Kabupaten Madiun SD/MI tahun 2006 sebesar 34.26%
berapa Produksi Perikanan Tambak di Kota Probolinggo dari tahun 2010 hingga 2012?,Produksi Perikanan Tambak di Kota Probolinggo tahun 2010 sebesar 454.0 tahun 2011 sebesar 386.0 tahun 2012 sebesar 312.0
berapa Produksi Perikanan Tangkap Perairan Umum di Kabupaten Jember tahun 2013?,Produksi Perikanan Tangkap Perairan Umum di Kabupaten Jember tahun 2013 sebesar 145.0.
berapa Hari Hujan pada bulan Desember tahun 2017?,Hari Hujan pada bulan Desember tahun 2017 sebanyak 26.0 hari.
berapa Curah Hujan pada bulan November tahun 2009?,Curah Hujan pada bulan November tahun 2009 sebesar 26.7 mm.
berapa Penyinaran Matahari pada bulan Agustus tahun 2008?,Penyinaran Matahari pada bulan Agustus tahun 2008 sebesar 94.0 jam.
berapa Kecepatan Angin pada bulan September tahun 2012?,Kecepatan Angin pada bulan September tahun 2012 sebesar 14.0 knot.
berapa Tekanan Udara minimal pada bulan Agustus tahun 2010?,Tekanan Udara minimal pada bulan Agustus tahun 2010 sebesar 1009.6 mb.
berapa Kelembaban Udara rata-rata pada bulan September tahun 2006?,Kelembaban Udara rata-rata pada bulan September tahun 2006 sebesar 61.5 persen.
